rho,u,v,x,y,S
0.939832,0.970200,0.007570,-0.520931,0.001135,186.248775
0.949208,1.082686,0.020329,-0.520931,7.483903,14.434483
0.948868,1.083127,-0.019234,-0.520931,-7.524979,14.361655
0.942370,0.977266,-0.028334,13.968872,0.001135,6.998967
0.948712,1.088433,0.003952,13.968872,7.483903,6.868284
0.949180,1.087295,0.001031,13.968872,-7.524979,6.852655
0.948212,1.069803,0.004431,-0.520931,15.751079,6.788285
0.950460,1.066763,-0.004599,-0.520931,-15.822166,6.738618
0.949016,1.078841,0.000118,13.968872,15.751079,5.124424
0.948195,1.079344,-0.002069,13.968872,-15.822166,5.113889
1.001380,1.037179,0.002472,34.402163,-7.524979,2.945239
1.000540,1.023618,-0.002659,34.402163,7.483903,2.907455
1.001140,1.028088,0.001699,34.402163,15.751079,2.717186
1.000613,1.028713,-0.000432,34.402163,-15.822166,2.716706
0.996857,0.912079,0.003271,34.402163,0.001135,2.651242
1.110876,0.932101,0.006498,54.602927,7.483903,1.691282
1.110827,0.929493,-0.009090,54.602927,-7.524979,1.686419
1.111220,0.936253,0.001087,54.602927,15.751079,1.647483
1.110912,0.934326,-0.002826,54.602927,-15.822166,1.643526
1.106114,0.766745,-0.002817,54.602927,0.001135,1.404230
1.208989,0.857417,0.007142,73.618780,7.483903,1.158740
1.209607,0.870584,-0.001788,73.618780,-15.822166,1.156159
1.209789,0.869638,0.000308,73.618780,15.751079,1.155129
1.208565,0.849459,-0.011106,73.618780,-7.524979,1.147979
1.204942,0.672999,0.001243,73.618780,0.001135,0.914169
